NorESM tag,compset,grid,Run ref.,active pes,cost pes,Cost,Throughput,TOTAL,ATM rt_day,ATM rt_yr,ATM pes,OCN rt_day,OCN rt_yr,OCN pes,LND rt_day,LND rt_yr,LND pes,ICE rt_day,ICE rt_yr,ICE pes,CPL rt_day,CPL rt_yr,CPL pes,COMM rt_day,COMM rt_yr
,,,,,,pe-hrs/myear,myears/wday,wsec/mday,wsec/mday,myr/wday,,wsec/mday,myr/wday,,wsec/mday,myr/wday,,wsec/mday,myr/wday,,wsec/mday,myr/wday,,wsec/mday,myr/wday
1-DEGREE SETUP,,,,,,,,,,,,,,,,,,,,,,,,,
noresm_0_beta01,N1850,ne30pg3_tn14,#190,2176,2176,6492.09,8.04,29.426,23.965,9.88,1920,16.359,14.47,256,3.468,68.26,1152,2.074,114.12,768,1.284,184.33,1920,3.241,73.05
noresm_0_beta01,N1850,ne30pg3_tn14,#190,2176,2176,6543.98,7.98,29.661,24.036,9.85,1920,16.467,14.37,256,3.619,65.41,1152,2.127,111.31,768,1.298,182.36,1920,3.296,71.82
noresm_0_beta02,N1850,ne30pg3_tn14,,2176,2176,7100.11,7.36,32.182,26.424,8.96,1920,21.543,10.99,256,3.385,69.93,1152,2.19,108.1,768,1.458,162.38,1920,3.043,77.78
noresm_0_beta02,N1850,ne30pg3_tn14,,2176,2176,7232.89,7.22,32.784,26.523,8.92,1920,21.717,10.9,256,3.464,68.34,1152,2.276,104,768,1.643,144.06,1920,3.322,71.26
2-DEGREE SETUP,,,,,,,,,,,,,,,,,,,,,,,,,
noresm_0_beta02,N1850,ne16pg3_tn14,#216,2036,2048,2678.06,18.35,12.897,8.811,26.87,1536,11.394,20.77,500,1.423,166.38,768,2.16,109.59,768,1.485,159.4,1536,1.257,188.31
noresm_0_beta02,N1850,ne16pg3_tn14,#216,2036,2048,2671.28,18.4,12.865,8.757,27.03,1536,11.493,20.6,500,1.43,165.52,768,2.163,109.43,768,1.442,164.13,1536,1.289,183.7
noresm_0_beta02,N1850,ne16pg3_tn14,#216,2159,2176,2759.55,18.92,12.508,8.848,26.75,1536,9.454,25.04,623,1.426,166.01,768,2.164,109.39,768,1.362,173.77,1536,1.534,154.34
noresm_0_beta02,N1850,ne16pg3_tn14,#216,2159,2176,2721.47,19.19,12.335,8.656,27.35,1536,9.46,25.02,623,1.426,166.02,768,2.187,108.24,768,1.37,172.82,1536,1.478,160.14
noresm_0_beta02,N1850,ne16pg3_tn14,#216,2297,2304,2907.39,19.02,12.446,8.779,26.96,1536,7.735,30.6,761,1.433,165.13,768,2.163,109.44,768,1.374,172.3,1536,2.206,107.3
noresm_0_beta02,N1850,ne16pg3_tn14,#216,2297,2304,2945.4,18.77,12.609,8.834,26.8,1536,7.767,30.48,761,1.463,161.8,768,2.176,108.76,768,1.409,167.99,1536,2.284,103.65
